d,algorithm,n_seeds,ndcg_mean,ndcg_std,ndcg_ci95_low,ndcg_ci95_high,gh_mean,gh_std,gh_ci95_low,gh_ci95_high
33,svd mmr,20,0.59105,0.0006863327411532524,0.5907492014137771,0.5913507985862229,0.22280000000000003,0.0006155870112510926,0.22253020709696825,0.2230697929030318
33,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
34,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
34,knni mmr,20,0.76025,0.004165964853175642,0.7584241854016992,0.7620758145983008,0.1593,0.0004701623459816263,0.15909394226664916,0.15950605773335083
34,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
34,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
34,knnu mmr,20,0.7018,0.00875755313098959,0.697961833112978,0.705638166887022,0.15435,0.0006708203932499368,0.154056,0.15464399999999998
34,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
34,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
34,svd mmr,20,0.5883999999999999,0.0010954451150103628,0.5879199000104144,0.5888800999895855,0.2231,0.00030779350562554734,0.2229651035484841,0.2232348964515159
34,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
35,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
35,knni mmr,20,0.75225,0.005118336489627494,0.7500067901287851,0.7544932098712148,0.15945,0.0005104177855340401,0.1592262995423857,0.1596737004576143
35,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
35,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
35,knnu mmr,20,0.6955,0.007542859990885757,0.6921941958538608,0.6988058041461392,0.15495,0.0006048053188292986,0.15468493238201309,0.15521506761798692
35,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
35,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
35,svd mmr,20,0.58905,0.0011459310165698887,0.5885477735884871,0.5895522264115128,0.22275,0.0004442616583193143,0.22255529374351143,0.22294470625648857
35,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
36,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
36,knni mmr,20,0.75285,0.004356181331105681,0.7509408193545811,0.7547591806454189,0.1588,0.0005231483637806123,0.15857072012046866,0.15902927987953133
36,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
36,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
36,knnu mmr,20,0.6829500000000001,0.005539095499029435,0.6805223843623402,0.6853776156376599,0.1565,0.0005129891760425803,0.15627517258080684,0.15672482741919316
36,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
36,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
36,svd mmr,20,0.58895,0.0006863327411532581,0.5886492014137771,0.5892507985862229,0.223,0.0,0.223,0.223
36,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
37,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
37,knni mmr,20,0.7744,0.0036040912424924213,0.7728204373689963,0.7759795626310036,0.15775,0.0005501196042201785,0.15750889945316485,0.15799110054683516
37,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
37,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
37,knnu mmr,20,0.6872,0.0051870283552236714,0.6849266845913142,0.6894733154086858,0.1571,0.0005525062514530823,0.1568578534588964,0.15734214654110357
37,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
37,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
37,svd mmr,20,0.58945,0.0005104177855340572,0.5892262995423857,0.5896737004576144,0.22290000000000001,0.00030779350562554745,0.2227651035484841,0.22303489645151592
37,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
38,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
